"時間戳記","請問您目前的身份是？","若您為在校生，請問您目前的年級為？","請問您在校內主要的移動方式／交通工具為何？","騎乘交通工具行經椰林大道時，您通常會選擇以下何種路線？","請問您對於以下敘述的認同程度？ [機動車輛的行駛路線經常變動，使我難以維持原有的騎乘路線]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我被迫加速]","請問您對於以下敘述的認同程度？ [椰林大道上的機動車輛使我騎乘交通工具時感到危險]","您在椰林大道「發生車禍」的頻率？","您在椰林大道「幾乎要發生車禍，但是因閃避即時而未有事故」的頻率？","若您曾經在椰林大道上發生／即將發生過車禍，歡迎您提供當下狀況的簡短描述及改善意見：","我認為「縮減機動車的車道寬度」有助於改善交通工具騎士的安全","我認為「縮減機動車的車道寬度」有助於改善行人的安全","承上題，若您認為縮減機動車道寬度有助於改善騎士／行人安全，則您覺得以下何種方法較適當？","步行經過椰林大道時，您通常會選擇以下何種路線？","若您前一題選擇「椰子樹下的磚造人行道」以外的選項，原因是？","請問您對於以下敘述的認同程度？ [我必須要時時注意路況，才不會被自行車／機動車撞到]","請問您對於以下敘述的認同程度？ [我經常被突然竄出的自行車／機動車嚇到]","若您曾經在椰林大道與各式交通工具發生車禍，歡迎您提供當下狀況的簡短描述及改善意見：","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我看清楚路上的來車]","請問您對於以下敘述的認同程度？ [目前椰林大道的夜間照明足夠讓我感到安心]","您對於椰林大道交通的任何想法？","您對於校內整體交通環境的任何想法？"
"2021/01/22 10:09:32 下午 GMT+8","台大學生","碩士班一年級","步行，有ubike就會借","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","1","3","幾乎不曾遇過","幾乎不曾遇過","無","3","3","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","2","2","","2","1","希望以維持現有景觀軸線的方式去進行改善，若以鋪面變化去分流，將大幅影響現有的景觀軸線","增寬步行者及自行車的用路寬度"
"2021/01/22 10:12:15 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","左轉時直接切到對向車道","3","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","5","5","騎腳踏車滑手機","2","2","",""
"2021/01/22 10:14:45 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","5","4","幾乎不曾遇過","偶爾（每半年一次以上）","","3","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","3","4","","3","3","",""
"2021/01/22 10:15:55 下午 GMT+8","台科大／台師大／國北教大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","4","偶爾（每半年一次以上）","偶爾（每半年一次以上）","雖然不是在椰林道上，是在旁邊有一條有蓋溫室的小路上，兩旁有明水溝的地方，之前有台貨車硬要開進來，就害我騎自行車卡住過不去最後只能跳車摔在草坡上","3","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","4","","4","2","",""
"2021/01/22 11:00:29 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","4","4","幾乎不曾遇過","經常（每月一次以上）","","4","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","4","3","","5","4","我覺得人 自行車 汽機車 三種方式都應該分流吧！ 我到是覺得最常遇到騎車時，原本直行的行人突然轉向，閃避不及。 最重要的是行人和車子要分開吧！ 行人好像覺得他們在走路就不用注意路況一樣...",""
"2021/01/22 11:00:38 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","4","幾乎不曾遇過","偶爾（每半年一次以上）","","3","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","5","4","","4","4","",""
"2021/01/22 11:40:49 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","4","幾乎不曾遇過","偶爾（每半年一次以上）","騎在最靠右邊的腳踏車突然要左轉","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","沒有特殊原因","3","4","","2","2","",""
"2021/01/22 11:57:45 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","4","4","幾乎不曾遇過","經常（每月一次以上）","","4","5","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑤ 緊鄰兩側建築物的磚造馬路","","4","5","","2","2","",""
"2021/01/23 12:01:38 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","2","5","幾乎不曾遇過","幾乎不曾遇過","","3","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","⑥ 我幾乎不會在椰林大道步行","沒有特殊原因","3","3","","1","1","晚上照明實在不夠，希望能多增加燈具","希望能多管控汽車在校內的數量"
"2021/01/23 12:11:34 上午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","1","1","4","偶爾（每半年一次以上）","偶爾（每半年一次以上）","","2","1","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","5","4","","2","3","",""
"2021/01/23 3:33:52 上午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","1","1","幾乎不曾遇過","幾乎不曾遇過","","3","3","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","","1","2","","5","5","",""
"2021/01/23 5:11:02 上午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","4","5","幾乎不曾遇過","經常（每月一次以上）","對方邊騎車邊滑手機，或單手撐傘，或因為沒有加裝車燈所以視線不佳","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","2","4","","3","4","","希望校園裡邊滑手機邊走路/騎腳踏車的雞掰人可以越來越少，無論是出於什麼原因越少越少都很棒"
"2021/01/23 6:07:04 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","3","1","2","幾乎不曾遇過","偶爾（每半年一次以上）","","1","3","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","","2","3","","1","1","應禁行自行車及校車以外之車輛行駛，並取消限速。加強宣導自行車內側左轉，外側右轉並比手勢。","同上。"
"2021/01/23 9:25:33 上午 GMT+8","台大學生","非學生","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","","4","4","","2","1","",""
"2021/01/23 10:56:32 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","1","1","1","幾乎不曾遇過","幾乎不曾遇過","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","","1","1","","1","1","",""
"2021/01/23 11:14:14 上午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","2","偶爾（每半年一次以上）","幾乎不曾遇過","當時從小椰林道右轉往椰林大道。結果我當時是騎在路中間，而我右邊有同學是要直線前進的；我們就撞在一起了。","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","這樣走到另外一邊比較快","5","2","","2","3","",""
"2021/01/23 12:43:46 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","人行道積水嚴重","4","3","","4","4","",""
"2021/01/23 1:24:31 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","3","幾乎不曾遇過","幾乎不曾遇過","","3","3","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","4","3","","2","2","",""
"2021/01/23 2:28:25 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","","3","3","縮減車道無助改善騎士／行人安全","① ② ③ 主線柏油路","人行道積水嚴重","4","4","","4","4","","機動車常常過快，感覺超過時速30，令人感到非常危險，我認為機動車應該在校園內優先禮讓行人以及腳踏車，希望有相關規定並且落實。"
"2021/01/23 3:12:57 下午 GMT+8","台大學生","大學部一年級","步行，且幾乎不使用交通工具","","","","","","","","4","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","5","4","","3","3","",""
"2021/01/23 6:23:40 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","5","5","幾乎不曾遇過","幾乎不曾遇過","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","4","4","","4","3","","很多地方晚上十分陰暗，易造成危險"
"2021/01/23 6:30:56 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","5","5","5","幾乎不曾遇過","偶爾（每半年一次以上）","","5","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","沒有特殊原因","5","5","","2","2","",""
"2021/01/23 9:09:47 下午 GMT+8","台大學生","碩士班一年級","步行，且幾乎不使用交通工具","","","","","","","","3","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","① ② ③ 主線柏油路","人行道路寬過小","2","1","","4","4","",""
"2021/01/24 1:58:25 上午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","5","幾乎不曾遇過","經常（每月一次以上）","計程車故意在我過椰林大道時（我有左右確認那台小黃還在遠處）突然加速，在快撞到我的距離急煞，我被嚇到也急煞，真心不能接受。只是想到滿不開心的，我也不知道能怎麼改善@@","5","4","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","① ② ③ 主線柏油路","","3","4","","4","3","",""
"2021/01/24 10:33:05 上午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","3","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","有時確實會因為人行道積水而走到柏油路上","2","3","","4","4","",""
"2021/01/24 12:52:28 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","2","4","幾乎不曾遇過","偶爾（每半年一次以上）","","2","2","縮減車道無助改善騎士／行人安全","④ 椰子樹下的磚造人行道","","1","1","","4","4","",""
"2021/01/24 2:16:09 下午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","1","3","幾乎不曾遇過","偶爾（每半年一次以上）","","3","1","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小","5","5","","3","3","禁止行人走在柏油路上",""
"2021/01/24 8:45:40 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","4","5","5","幾乎不曾遇過","經常（每月一次以上）","機動車輛未打方向燈，差點被一波帶走，急煞的時候又差點被後面的腳踏車撞到，還好後面的腳踏車駕駛有閃開。","3","4","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","人行道積水嚴重","4","4","傅鐘與行政大樓中間那一塊一堆自行車逆向行駛，有夠危險。","3","2","",""
"2021/01/25 2:53:10 上午 GMT+8","台大學生","碩士班二年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","4","4","幾乎不曾遇過","偶爾（每半年一次以上）","","5","5","劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","5","4","","5","5","",""
"2021/01/25 8:45:34 上午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","4","偶爾（每半年一次以上）","偶爾（每半年一次以上）","","4","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑥ 我幾乎不會在椰林大道步行","人行道路寬過小","4","4","","2","2","",""
"2021/01/25 12:59:03 下午 GMT+8","台大學生","大學部四年級（含）以上","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","4","4","5","幾乎不曾遇過","經常（每月一次以上）","","3","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","人行道積水嚴重;人行道路寬過小","4","4","","4","2","",""
"2021/01/25 2:13:43 下午 GMT+8","台大學生","大學部三年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","2","4","5","幾乎不曾遇過","偶爾（每半年一次以上）","","4","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","④ 椰子樹下的磚造人行道","","4","4","","3","2","",""
"2021/01/25 2:31:41 下午 GMT+8","台大學生","碩士班一年級","自行車（含自有交通工具）","② 主線柏油路，在車道正中央騎乘","2","2","3","幾乎不曾遇過","幾乎不曾遇過","","3","3","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","⑤ 緊鄰兩側建築物的磚造馬路","人行道路寬過小","3","2","","2","2","",""
"2021/01/26 2:26:47 下午 GMT+8","台大學生","大學部一年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","5","5","5","幾乎不曾遇過","總是（每週一次以上）","","5","2","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）","④ 椰子樹下的磚造人行道","","1","3","","1","1","",""
"2021/01/26 5:18:05 下午 GMT+8","台大學生","大學部二年級","自行車（含自有交通工具）","① 主線柏油路，靠車道右側、椰子樹旁騎乘","3","3","4","幾乎不曾遇過","偶爾（每半年一次以上）","","3","3","維持現有路面標線樣式（白線、雙黃線），僅縮減機動車道空間","④ 椰子樹下的磚造人行道","人行道積水嚴重","3","3","","3","3","","綜合前面的十字路口超亂"
"2021/01/27 1:30:38 下午 GMT+8","台大學生","大學部三年級","步行，且幾乎不使用交通工具","","","","","","","","3","5","利用鋪面顏色設計，區隔車輛與行人空間（如上圖）;劃設鋸齒型標線引導車輛減速","① ② ③ 主線柏油路","柏油路／磚造馬路離目的地較近","4","4","","5","4","有時候竄出專車還是會嚇到","不知道能否在校園內部設置紅綠燈？或許會是一個不錯的做法"
